en 🇺🇸,en-au 🇦🇺,en-ca 🇨🇦,en-gb 🇬🇧,en-nz 🇳🇿,en-za 🇿🇦,pos,description
humanize,humanise,,humanise,humanise,humanise,verb,
initialize,initialise,initialize,initialise,initialise,initialise,verb,
initialized,initialised,initialized,initialised,initialised,initialised,verb,
initializing,initialising,initializing,initialising,initialising,initialising,verb,
itemize,itemise,itemize,itemise,itemise,itemise,verb,
itemized,itemised,itemized,itemised,itemised,itemised,verb,
internationalize,internationalise,internationalize,internationalise,internationalise,internationalise,verb,
internationalized,internationalised,internationalized,internationalised,internationalised,internationalised,verb,
internationalization,internationalisation,internationalization,internationalisation,internationalisation,internationalisation,verb,
labeled,labelled,labelled,labelled,labelled,labelled,verb,
labeling,labelling,labelling,labelling,labelling,labelling,verb,
license,licence,licence,licence,licence,licence,noun,
license,license,license,license,licence,license,verb,
localization,localisation,localization,localisation,localisation,localisation,verb,
localize,localise,localize,localise,localise,localise,verb,
localized,localised,localized,localised,localised,localised,verb,
maximize,maximise ,maximize,maximise ,maximise ,maximise ,verb,
maximized,maximised,maximized,maximised,maximised,maximised,verb,
meter,metre,metre,metre,metre,metre,noun,unit of measure
millimeter,millimetre,millimetre,millimetre,millimetre,millimetre,noun,
millimeters,millimetres,millimetres,millimetres,millimetres,millimetres,noun,
minimize,minimise,minimize,minimise,minimise,minimise,verb,
minimized,minimised,minimized,minimised,minimised,minimised,verb,
modernize,modernise,modernize,modernise,modernise,modernise,verb,
modernized,modernised,modernized,modernised,modernised,modernised,verb,
monetize,monetise,monetize,monetise,monetise,monetise,verb,
monetizing,monetising,monetizing,monetising,monetising,monetising,verb,
monetization,monetisation,monetization,monetisation,monetisation,monetisation,noun,
neighbor,neighbour,neighbour,neighbour,neighbour,neighbour,verb,
normalize,normalise,normalize,normalise,normalise,normalise,verb,
normalized,normalised,normalized,normalised,normalised,normalised,verb,
offense,offence,offence,offence,offence,offence,verb,
optimization,optimisation ,optimization,optimisation ,optimisation ,optimisation ,verb,
optimizations,optimisations,optimizations,optimisations,optimisations,optimisations,verb,
optimize,optimise,optimize,optimise,optimise,optimise,verb,
optimized,optimised,optimized,optimised,optimised,optimised,verb,
optimizing,optimising,optimizing,optimising,optimising,optimising,verb,
organization,organisation,organization,organisation,organisation,organisation,verb,
organizations,organisations,organizations,organisations,organisations,organisations,verb,
organize,organise,organize,organise,organise,organise,verb,
organized,organised,organized,organised,organised,organised,verb,
organizer,organiser,organizer,organiser,organiser,organiser,verb,
organizers,organisers,organizers,organisers,organisers,organisers,verb,
organizing,organising,organizing,organising,organising,organising,verb,
personalization,personalisation,personalization,personalisation,personalisation,personalisation,noun,
personalize,personalise,personalize,personalise,personalise,personalise,verb,
personalized,personalised,personalized,personalised,personalised,personalised,verb,
prioritize,prioritise,prioritize,prioritise,prioritise,prioritise,verb,
prioritized,prioritised,prioritized,prioritised,prioritised,prioritised,verb,
prioritizes,prioritises,prioritizes,prioritises,prioritises,prioritises,verb,
prioritizing,prioritising,prioritizing,prioritising,prioritising,prioritising,verb,
prioritization,prioritisation,prioritization,prioritisation,prioritisation,prioritisation,verb,
Publicize,Publicise,Publicize,Publicise,Publicise,Publicise,noun,Jetpack module name
publicize,publicise,publicize,publicise,publicise,publicise,verb,
publicized,publicised,publicized,publicised,publicised,publicised,verb,
publicizing,publicising,publicizing,publicising,publicising,publicising,verb,
randomize,randomise,randomize,randomise,randomise,randomise,verb,
randomizing,randomising,randomizing,randomising,randomising,randomising,verb,
rationalized ,rationalised,rationalized ,rationalised,rationalised,rationalised,verb,
realize,realise,realize,realise,realise,realise,verb,
realized,realised,realized,realised,realised,realised,verb,
recognize,recognise,recognize,recognise,recognise,recognise,verb,
recognized,recognised,recognized,recognised,recognised,recognised,verb,
recognizing,recognising,recognizing,recognising,recognising,recognising,verb,
reorganize,reorganise,reorganize,reorganise,reorganise,reorganise,verb,
reorganized,reorganised,reorganized,reorganised,reorganised,reorganised,verb,
reorganizing,reorganising,reorganizing,reorganising,reorganising,reorganising,verb,
sanitization ,sanitisation ,sanitization ,sanitisation ,sanitisation ,sanitisation ,verb,
sanitize,sanitise,sanitize,sanitise,sanitise,sanitise,verb,
sanitized,sanitised,sanitized,sanitised,sanitised,sanitised,verb,
sanitizing,sanitising,sanitizing,sanitising,sanitising,sanitising,verb,
serialize,serialise,serialize,serialise,serialise,serialise,verb,
serialized,serialised,serialized,serialised,serialised,serialised,verb,
specialize,specialise,specialize,specialise,specialise,specialise,verb,
specializes,specialises,specializes,specialises,specialises,specialises,verb,
specialized,specialised,specialized,specialised,specialised,specialised,verb,
specializing,specialising,specializing,specialising,specialising,specialising,verb,
standardize,standardise,standardize,standardise,standardise,standardise,verb,
standardized,standardised,standardized,standardised,standardised,standardised,noun,
symbolize,symbolise,symbolize,symbolise,symbolise,symbolise,verb,
symbolized,symbolised,symbolized,symbolised,symbolised,symbolised,verb,
symbolizes,symbolises,symbolizes,symbolises,symbolises,symbolises,verb,
synchronization,synchronisation,synchronization,synchronisation,synchronisation,synchronisation,verb,
synchronize,synchronise,synchronize,synchronise,synchronise,synchronise,verb,
synchronized,synchronised,synchronized,synchronised,synchronised,synchronised,verb,
synchronizing,synchronising,synchronizing,synchronising,synchronising,synchronising,verb,
trash,trash,trash,bin,trash,bin,noun,
trash,trash,trash,bin,trash,bin,verb,
trashed,trashed,trashed,binned,trashed,binned,verb,
trashing,trashing,trashing,binning,trashing,binning,verb,
traveling,travelling,travelling,travelling,travelling,travelling,verb,
unauthorized,unauthorised,unauthorized,unauthorised,unauthorised,unauthorised,verb,
uncategorized,uncategorised,uncategorized,uncategorised,uncategorised,uncategorised,verb,
uninitialization,uninitialisation,uninitialization,uninitialisation,uninitialisation,uninitialisation,,
uninitializational,uninitialisational,uninitializational,uninitialisational,uninitialisational,uninitialisational,,
uninitialize,uninitialise,uninitialize,uninitialise,uninitialise,uninitialise,,
uninitialized,uninitialised,uninitialized,uninitialised,uninitialised,uninitialised,,
uninitializing,uninitialising,uninitializing,uninitialising,uninitialising,uninitialising,,
unorganized,unorganised,unorganized,unorganised,unorganised,unorganised,,"should be ""disorganised"" unless talking about not being affiliated"
unrecognizable,unrecognisable,unrecognizable,unrecognisable,unrecognisable,unrecognisable,,
unrecognized,unrecognised,unrecognized,unrecognised,unrecognised,unrecognised,,
unsavory,unsavoury,unsavory,unsavoury,unsavoury,unsavoury,adjective,
untrashing,untrashing,untrashing,unbinning,untrashing,unbinning,,
useable,usable,usable,usable,usable,usable,,
utilize,utilise,utilize,utilise,utilise,utilise,verb,
utilized,utilised,utilized,utilised,utilised,utilised,noun,
utilized,utilised,utilized,utilised,utilised,utilised,verb,
utilizes,utilises,utilizes,utilises,utilises,utilises,verb,
utilizing,utilising,utilizing,utilising,utilising,utilising,verb,
vapor,vapour,vapour,vapour,vapour,vapour,noun,
vectorize,vectorise,vectorize,vectorise,vectorise,vectorise,,
virtualization,virtualisation,virtualization,virtualisation,virtualisation,virtualisation,,
virtualize,virtualise,virtualize,virtualise,virtualise,virtualise,,
virtualized,virtualised,virtualized,virtualised,virtualised,virtualised,,
virtualizing,virtualising,virtualizing,virtualising,virtualising,virtualising,,
visualization,visualisation,visualization,visualisation,visualisation,visualisation,noun,
visualize,visualise,visualize,visualise,visualise,visualise,verb,
visualized,visualised,visualized,visualised,visualised,visualised,verb,
visualizes,visualises,visualizes,visualises,visualises,visualises,verb,
visualizing,visualising,visualizing,visualising,visualising,visualising,verb,
widgetized,widgetised,widgetized,widgetised,widgetised,widgetised,verb,
ZIP code,** do not translate,Postal Code,postcode,,postcode,,"Gravity forms use `Zip / postal code`, if its a plugin you still might have international visitors wanting to fill out a form and using the combined string is much more inclusive"
,,,,,,,"** en_AU has decided not to translate Zip code etc , its problematic because we cannot know the context of a plugin's visitor base, Americans don’t know what a Postal Code is, Brits got confused with a ZIP code, etc."
,,,,,,,
,,Nice Canadian <> American spelling comparison http://www.mohawkcollege.ca/Assets/Communications+Centre/Helpful+Facts+Sheets/Canadian+vs+American+Spelling.pdf,,,,,
